loan_amount,term,int_rate,installment,applicant,loan_length,home_ownership,annual_income,state
2500,"36 months",9.9999,84.9200,Chef,"10+ years",RENT,55000,NY
30000,"60 months",9.9999,99.9999,Postmaster,"10+ years",MORTGAGE,90000,LA
5000,"36 months",9.9999,99.9999,Administrative,"6 years",MORTGAGE,59280,MI
4000,"36 months",9.9999,99.9999,"IT Supervisor","10+ years",MORTGAGE,92000,WA
30000,"60 months",9.9999,99.9999,Mechanic,"10+ years",MORTGAGE,57250,MD
5550,"36 months",9.9999,99.9999,"Director COE","10+ years",MORTGAGE,152500,IN
2000,"36 months",9.9999,72.2800,"Account Manager","4 years",RENT,51000,IL
6000,"36 months",9.9999,99.9999,"Assistant Director","10+ years",RENT,65000,IN
5000,"36 months",9.9999,99.9999,"Legal Assistant III","10+ years",MORTGAGE,53580,FL
6000,"36 months",9.9999,99.9999,"""","< 1 year",OWN,300000,CT
5500,"36 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,50000,LA
28000,"60 months",9.9999,99.9999,Consultant,"2 years",MORTGAGE,70000,GA
11200,"36 months",8.1900,99.9999,"Job Coach Supervisor","10+ years",MORTGAGE,65000,UT
6500,"36 months",9.9999,99.9999,"Quality Field Engineer","4 years",MORTGAGE,154000,NC
22000,"60 months",9.9999,99.9999,Teller,"10+ years",MORTGAGE,65000,KY
3500,"36 months",9.9999,99.9999,"respritory therapist","10+ years",MORTGAGE,80000,IL
7000,"36 months",9.9999,99.9999,"Worship Director","4 years",MORTGAGE,102500,OH
25000,"60 months",9.9999,99.9999,Processor,"10+ years",MORTGAGE,23878,OH
16000,"60 months",9.9999,99.9999,"Neonatal Nurse Practitioner","4 years",MORTGAGE,120000,AR
13000,"60 months",9.9999,99.9999,"Stationary Engineer","10+ years",MORTGAGE,75000,OK
10000,"36 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,65000,CA
13000,"36 months",9.9999,99.9999,"Exhibits director","10+ years",MORTGAGE,55000,IL
9600,"36 months",9.9999,99.9999,"driver coordinator","9 years",RENT,65000,WV
3500,"36 months",9.9999,99.9999,"gas attendant","10+ years",MORTGAGE,40000,NJ
16000,"60 months",9.9999,99.9999,"Financial Relationship Associa","< 1 year",RENT,33000,SC
15000,"60 months",9.9999,99.9999,"""",n/a,MORTGAGE,30000,TX
13000,"36 months",9.9999,99.9999,"Sale Representative","2 years",MORTGAGE,90000,PA
23000,"60 months",9.9999,99.9999,Operator,"5 years",RENT,68107,KS
8000,"36 months",9.9999,99.9999,Manager,"10+ years",OWN,43000,AL
32075,"60 months",9.9999,99.9999,"Nursing Supervisor","10+ years",MORTGAGE,150000,VA
12000,"60 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,40000,PA
10000,"60 months",9.9999,99.9999,"Material Handler","10+ years",MORTGAGE,80000,MO
16000,"60 months",9.9999,99.9999,"Instructional Coordinator","5 years",MORTGAGE,51000,NC
3300,"36 months",9.9999,99.9999,"Program Manager","3 years",RENT,49700,GA
20000,"60 months",9.9999,99.9999,"""",n/a,MORTGAGE,47590,PA
3500,"36 months",9.9999,99.9999,"Budget & Procurement Specialis","10+ years",RENT,33190,AZ
12000,"36 months",9.9999,99.9999,"""","5 years",OWN,19000,IL
10000,"36 months",9.9999,99.9999,"Foreman shop","7 years",RENT,74000,NY
6000,"36 months",6.4600,99.9999,"Substance Abuse Counselor","1 year",MORTGAGE,40000,TX
25000,"60 months",9.9999,99.9999,"Business Intelligence Engineer","5 years",MORTGAGE,171000,WA
20000,"36 months",9.9999,99.9999,FC,"5 years",RENT,74800,IL
2200,"36 months",9.9999,76.2900,"""",n/a,RENT,70000,NM
25000,"60 months",9.9999,99.9999,"Information technology","7 years",RENT,53000,AL
4000,"36 months",9.9999,99.9999,"""",n/a,RENT,20000,PA
1250,"36 months",9.9999,48.6500,BANKER,"10+ years",RENT,52000,IN
10400,"36 months",9.9999,99.9999,"Program Support Assistant","10+ years",MORTGAGE,56099,CO
7500,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,32700,AR
7000,"36 months",9.9999,99.9999,"Business Analyst","< 1 year",MORTGAGE,97000,VA
25000,"36 months",9.9999,99.9999,"""",n/a,OWN,30000,RI
8000,"36 months",9.9999,99.9999,"Program Manager","7 years",MORTGAGE,85000,AL
9000,"36 months",9.9999,99.9999,Millwright,"4 years",MORTGAGE,75000,WI
9600,"36 months",9.9999,99.9999,"Fuel truck driver","10+ years",OWN,60000,NJ
8000,"36 months",9.9999,99.9999,"Publications and Images Projec","10+ years",MORTGAGE,82923,CO
12000,"36 months",9.9999,99.9999,Trainer,"6 years",RENT,24000,AZ
20000,"36 months",9.9999,99.9999,"Armed Security officer","9 years",MORTGAGE,40000,CT
40000,"60 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,500000,GA
14400,"60 months",9.9999,99.9999,Director,"3 years",RENT,110000,CA
22400,"36 months",8.8100,99.9999,Manager,"2 years",MORTGAGE,30000,CT
25000,"36 months",9.9999,99.9999,Agent,"2 years",OWN,78000,TN
26000,"60 months",9.9999,99.9999,"Mortgage loan processor","10+ years",MORTGAGE,40000,MI
