Restaurant_Name,Address,City,Phone,Cuisines,Ratings
arnie mortons of chicago, 435 s. la cienega blv., los angeles, 3102461501, american, 0
arnie mortons of chicago, 435 s. la cienega blvd., los angeles, 3102461501, steakhouses, 0
arts delicatessen, 12224 ventura blvd., studio city, 8187621221, american, 1
arts deli, 12224 ventura blvd., studio city, 8187621221, delis, 1
hotel belair, 701 stone canyon rd., bel air, 3104721211, californian, 2
belair hotel, 701 stone canyon rd., bel air, 3104721211, californian, 2
cafe bizou, 14016 ventura blvd., sherman oaks, 8187883536, french, 3
cafe bizou, 14016 ventura blvd., sherman oaks, 8187883536, french bistro, 3
campanile, 624 s. la brea ave., los angeles, 2139381447, american, 4
campanile, 624 s. la brea ave., los angeles, 2139381447, californian, 4
chinois on main, 2709 main st., santa monica, 3103929025, french, 5
chinois on main, 2709 main st., santa monica, 3103929025, pacific new wave, 5
citrus, 6703 melrose ave., los angeles, 2138570034, californian, 6
citrus, 6703 melrose ave., los angeles, 2138570034, californian, 6
fenix, 8358 sunset blvd. west, hollywood, 2138486677, american, 7
fenix at the argyle, 8358 sunset blvd., w. hollywood, 2138486677, french (new), 7
granita, 23725 w. malibu rd., malibu, 3104560488, californian, 8
granita, 23725 w. malibu rd., malibu, 3104560488, californian, 8
grill on the alley, 9560 dayton way, los angeles, 3102760615, american, 9
grill  the, 9560 dayton way, beverly hills, 3102760615, american (traditional), 9
restaurant katsu, 1972 n. hillhurst ave., los angeles, 2136651891, asian, 10
katsu, 1972 hillhurst ave., los feliz, 2136651891, japanese, 10
lorangerie, 903 n. la cienega blvd., los angeles, 3106529770, french, 11
lorangerie, 903 n. la cienega blvd., w. hollywood, 3106529770, french (classic), 11
le chardonnay, 8284 melrose ave., los angeles, 2136558880, french, 12
le chardonnay (los angeles), 8284 melrose ave., los angeles, 2136558880, french bistro, 12
locanda veneta, 3rd st., los angeles, 3102741893, italian, 13
locanda veneta, 8638 w. third st., los angeles, 3102741893, italian, 13
matsuhisa, 129 n. la cienega blvd., beverly hills, 3106599639, asian, 14
matsuhisa, 129 n. la cienega blvd., beverly hills, 3106599639, seafood, 14
the palm, 9001 santa monica blvd., los angeles, 3105508811, american, 15
palm  the (los angeles), 9001 santa monica blvd., w. hollywood, 3105508811, steakhouses, 15
patina, 5955 melrose ave., los angeles, 2134671108, californian, 16
patina, 5955 melrose ave., los angeles, 2134671108, californian, 16
philippes the original, 1001 n. alameda st., los angeles, 2136283781, american, 17
philippe the original, 1001 n. alameda st., chinatown, 2136283781, cafeterias, 17
pinot bistro, 12969 ventura blvd., los angeles, 8189900500, french, 18
pinot bistro, 12969 ventura blvd., studio city, 8189900500, french bistro, 18
rex il ristorante, 617 s. olive st., los angeles, 2136272300, italian, 19
rex il ristorante, 617 s. olive st., los angeles, 2136272300, nuova cucina italian, 19
spago, 1114 horn ave., los angeles, 3106524025, californian, 20
spago (los angeles), 8795 sunset blvd., w. hollywood, 3106524025, californian, 20
valentino, 3115 pico blvd., santa monica, 3108294313, italian, 21
valentino, 3115 pico blvd., santa monica, 3108294313, italian, 21
yujean kangs gourmet chinese cuisine, 67 n. raymond ave., los angeles, 8185850855, asian, 22
yujean kangs, 67 n. raymond ave., pasadena, 8185850855, chinese, 22
21 club, 21 w. 52nd st., new york, 2125827200, american, 23
21 club, 21 w. 52nd st., new york city, 2125827200, american (new), 23
aquavit, 13 w. 54th st., new york, 2123077311, continental, 24
aquavit, 13 w. 54th st., new york city, 2123077311, scandinavian, 24
aureole, 34 e. 61st st., new york, 212 3191660, american, 25
aureole, 34 e. 61st st., new york city, 2123191660, american (new), 25
cafe lalo, 201 w. 83rd st., new york, 2124966031, coffee bar, 26
cafe lalo, 201 w. 83rd st., new york city, 2124966031, coffeehouses, 26
cafe des artistes, 1 w. 67th st., new york, 2128773500, continental, 27
cafe des artistes, 1 w. 67th st., new york city, 2128773500, french (classic), 27
carmines, 2450 broadway  between 90th and 91st sts., new york, 2123622200, italian, 28
carmines, 2450 broadway, new york city, 2123622200, italian, 28
carnegie deli, 854 7th ave.  between 54th and 55th sts., new york, 2127572245, delicatessen, 29
carnegie deli, 854 seventh ave., new york city, 2127572245, delis, 29
chanterelle, 2 harrison st.  near hudson st., new york, 2129666960, american, 30
chanterelle, 2 harrison st., new york city, 2129666960, french (new), 30
daniel, 20 e. 76th st., new york, 2122880033, french, 31
daniel, 20 e. 76th st., new york city, 2122880033, french (new), 31
dawat, 210 e. 58th st., new york, 2123557555, asian, 32
dawat, 210 e. 58th st., new york city, 2123557555, indian, 32
felidia, 243 e. 58th st., new york, 2127581479, italian, 33
felidia, 243 e. 58th st., new york city, 2127581479, italian, 33
four seasons grill room, 99 e. 52nd st., new york, 2127549494, american, 34
four seasons, 99 e. 52nd st., new york city, 2127549494, american (new), 34
gotham bar & grill, 12 e. 12th st., new york, 2126204020, american, 35
gotham bar & grill, 12 e. 12th st., new york city, 2126204020, american (new), 35
gramercy tavern, 42 e. 20th st.  between park ave. s and broadway, new york, 2124770777, american, 36
gramercy tavern, 42 e. 20th st., new york city, 2124770777, american (new), 36
island spice, 402 w. 44th st., new york, 2127651737, tel caribbean, 37
island spice, 402 w. 44th st., new york city, 2127651737, caribbean, 37
jo jo, 160 e. 64th st., new york, 2122235656, american, 38
jo jo, 160 e. 64th st., new york city, 2122235656, french bistro, 38
la caravelle, 33 w. 55th st., new york, 2125864252, french, 39
la caravelle, 33 w. 55th st., new york city, 2125864252, french (classic), 39
la cote basque, 60 w. 55th st.  between 5th and 6th ave., new york, 2126886525, french, 40
la cote basque, 60 w. 55th st., new york city, 2126886525, french (classic), 40
le bernardin, 155 w. 51st st., new york, 2124891515, french, 41
le bernardin, 155 w. 51st st., new york city, 2124891515, seafood, 41
les celebrites, 160 central park s, new york, 2124845113, french, 42
les celebrites, 155 w. 58th st., new york city, 2124845113, french (classic), 42
lespinasse, 2 e. 55th st., new york, 2123396719, american, 43
lespinasse (new york city), 2 e. 55th st., new york city, 2123396719, asian, 43
lutece, 249 e. 50th st., new york, 2127522225, french, 44
lutece, 249 e. 50th st., new york city, 2127522225, french (classic), 44
manhattan ocean club, 57 w. 58th st., new york, 212 3717777, seafood, 45
manhattan ocean club, 57 w. 58th st., new york city, 2123717777, seafood, 45
march, 405 e. 58th st., new york, 2127546272, american, 46
march, 405 e. 58th st., new york city, 2127546272, american (new), 46
mesa grill, 102 5th ave.  between 15th and 16th sts., new york, 2128077400, american, 47
mesa grill, 102 fifth ave., new york city, 2128077400, southwestern, 47
mi cocina, 57 jane st.  off hudson st., new york, 2126278273, mexican, 48
mi cocina, 57 jane st., new york city, 2126278273, mexican, 48
montrachet, 239 w. broadway  between walker and white sts., new york, 212 2192777, french, 49
montrachet, 239 w. broadway, new york city, 2122192777, french bistro, 49
oceana, 55 e. 54th st., new york, 2127595941, seafood, 50
oceana, 55 e. 54th st., new york city, 2127595941, seafood, 50
park avenue cafe, 100 e. 63rd st., new york, 2126441900, american, 51
park avenue cafe (new york city), 100 e. 63rd st., new york city, 2126441900, american (new), 51
petrossian, 182 w. 58th st., new york, 2122452214, french, 52
petrossian, 182 w. 58th st., new york city, 2122452214, russian, 52
picholine, 35 w. 64th st., new york, 2127248585, mediterranean, 53
picholine, 35 w. 64th st., new york city, 2127248585, mediterranean, 53
pisces, 95 ave. a at 6th st., new york, 2122606660, seafood, 54
pisces, 95 ave. a, new york city, 2122606660, seafood, 54
rainbow room, 30 rockefeller plaza, new york, 2126325000, or 2126325100 american, 55
rainbow room, 30 rockefeller plaza, new york city, 2126325000, american (new), 55
river cafe, 1 water st. at the east river, brooklyn, 7185225200, american, 56
